archivo,f_obj greedy,tiempo greedy,dist_max greedy,f_obj mcf,tiempo mcf,dist_max mcf,z_f_obj,z_tiempo,z_d_max
input/small_0.csv,36.9,2,13.2,29.3,50,5.6,0.259386,-0.96,1.35714
input/small_9.csv,58.1,2,12.7,49.7,61,14.3,0.169014,-0.967213,-0.111888
input/small_8.csv,38.1,2,6.8,35.5,51,7.7,0.0732394,-0.960784,-0.116883
input/small_7.csv,56.3,2,17.8,46.9,52,10.3,0.200426,-0.961538,0.728155
input/small_6.csv,44.9,2,17.1,41,40,12,0.095122,-0.95,0.425
input/small_5.csv,63.6,2,16.8,54.4,46,13.1,0.169118,-0.956522,0.282443
input/small_4.csv,33.9,2,7.1,30.8,37,6.4,0.100649,-0.945946,0.109375
input/small_3.csv,29.5,2,8,23.7,42,7.7,0.244726,-0.952381,0.038961
input/small_2.csv,65.6,2,13.4,56.9,66,9.4,0.1529,-0.969697,0.425532
input/small_1.csv,42.4,2,12.5,32.4,49,5.6,0.308642,-0.959184,1.23214
input/medium_0.csv,408.7,238,24.3,32.95,4371,15,11.4036,-0.94555,0.62
input/medium_1.csv,380,127,18.3,34.42,4441,13.2,10.0401,-0.971403,0.386364
input/medium_2.csv,307.7,185,20.1,24.15,3038,12.3,11.7412,-0.939105,0.634146
input/medium_3.csv,380.1,125,23.6,31.74,5459,16.7,10.9754,-0.977102,0.413174
input/medium_4.csv,279.2,127,16.1,23.48,2743,13.9,10.891,-0.9537,0.158273
input/medium_5.csv,398.5,173,24.3,34.17,3604,16.1,10.6623,-0.951998,0.509317
input/medium_6.csv,323.1,160,19.9,25.09,4048,15.6,11.8776,-0.960474,0.275641
input/medium_7.csv,325.5,331,21.3,26,2610,15.9,11.5192,-0.87318,0.339623
input/medium_8.csv,271.3,256,12.8,22.76,2266,12.4,10.92,-0.887026,0.0322581
input/medium_9.csv,299,182,18.2,25.87,3854,11.5,10.5578,-0.952776,0.582609
input/large_0.csv,917.9,1247,24.4,28.26,18190,16,31.4805,-0.931446,0.525
input/large_9.csv,762.2,887,22.4,26.364,20486,14.4,27.9106,-0.956702,0.555556
input/large_8.csv,944.9,926,26.2,33.028,19091,15.6,27.6091,-0.951495,0.679487
input/large_7.csv,867.8,873,23.2,27.268,22262,16.5,30.8248,-0.960785,0.406061
input/large_6.csv,793.7,1211,25,27.044,20805,16.9,28.3485,-0.941793,0.47929
input/large_5.csv,795.7,868,23.6,25.424,15278,15.7,30.2972,-0.943186,0.503185
input/large_4.csv,844.2,871,21.7,29.08,17537,15.3,28.0303,-0.950334,0.418301
input/large_3.csv,844.5,874,24.1,29.236,13066,14.5,27.8856,-0.933109,0.662069
input/large_2.csv,736.9,880,22.9,23.98,18038,14.7,29.7298,-0.951214,0.557823
input/large_1.csv,988.2,871,26.8,30.956,14930,16.8,30.9227,-0.941661,0.595238
input/xl_0.csv,1655.3,3695,26.5,27.424,91535,16.8,59.3595,-0.959633,0.577381
input/xl_1.csv,1605.1,3817,25,28.256,78267,15.8,55.8056,-0.951231,0.582278
input/xl_2.csv,1486.9,3753,25.6,25.412,82214,19.5,57.5117,-0.954351,0.312821
input/xl_3.csv,1390.2,4448,23.9,23.488,96195,16.4,58.1877,-0.953761,0.457317
input/xl_4.csv,1467,5306,24.6,25.834,99823,16.5,55.7856,-0.946846,0.490909
input/xl_5.csv,1441.5,4800,24.3,25.108,77103,15.9,56.412,-0.937746,0.528302
input/xl_6.csv,1737.4,4222,23.3,30.436,94553,16.3,56.0837,-0.955348,0.429448
input/xl_7.csv,1705.1,4009,24.8,28.348,85237,16.5,59.1489,-0.952966,0.50303
input/xl_8.csv,1512.7,3802,26.2,24.87,107673,16.1,59.8243,-0.964689,0.627329
input/xl_9.csv,1531.7,3906,23.2,26.188,105637,17,57.4886,-0.963024,0.364706
