archivo,f_obj modelo
input/small_0.csv,30
input/small_9.csv,50.5
input/small_8.csv,37.7
input/small_7.csv,56.5
input/small_6.csv,44.2
input/small_5.csv,56.4
input/small_4.csv,32.2
input/small_3.csv,24.4
input/small_2.csv,62.7
input/small_1.csv,33
input/medium_0.csv,355.3
input/medium_1.csv,367.2
input/medium_2.csv,282.8
input/medium_3.csv,350.6
input/medium_4.csv,261.7
input/medium_5.csv,367
input/medium_6.csv,273.7
input/medium_7.csv,298.7
input/medium_8.csv,246.4
input/medium_9.csv,275.3
input/large_0.csv,746.5
input/large_9.csv,698.2
input/large_8.csv,898.8
input/large_7.csv,729.5
input/large_6.csv,723
input/large_5.csv,688.3
input/large_4.csv,757.7
input/large_3.csv,783.9
input/large_2.csv,663.1
input/large_1.csv,869.6
input/xl_0.csv,1458.9
input/xl_1.csv,1494.5
input/xl_2.csv,1353.5
input/xl_3.csv,1271.4
input/xl_4.csv,1371.4
input/xl_5.csv,1342
input/xl_6.csv,1627.5
input/xl_7.csv,1500
input/xl_8.csv,1336.6
input/xl_9.csv,1383.8
