archivo,d_ij,d_t,ratio
input/small_0.csv,3.2,3.37961,0.946854
input/small_0.csv,5.6,3.29915,1.69741
input/small_0.csv,2.8,4.11991,0.679626
input/small_0.csv,1.3,1.12654,1.15398
input/small_0.csv,1.2,1.93121,0.621373
input/small_0.csv,4.4,1.06216,4.14248
input/small_0.csv,3,1.41622,2.11832
input/small_0.csv,1.2,3.78195,0.317297
input/small_0.csv,2.4,3.86242,0.621373
input/small_0.csv,4.2,1.28747,3.26221
input/small_9.csv,2.7,1.88293,1.43394
input/small_9.csv,1.8,2.09214,0.860362
input/small_9.csv,3.7,2.57494,1.43692
input/small_9.csv,4.8,2.71978,1.76485
input/small_9.csv,6.8,1.97949,3.43523
input/small_9.csv,8.9,2.89681,3.07234
input/small_9.csv,14.3,0.643736,22.2141
input/small_9.csv,4.1,3.10603,1.32001
input/small_9.csv,1,0.80467,1.24275
input/small_9.csv,1.6,2.59104,0.617513
input/small_8.csv,6.4,2.57494,2.48549
input/small_8.csv,1.5,3.21868,0.46603
input/small_8.csv,5.3,4.10382,1.29148
input/small_8.csv,2.5,3.00947,0.830712
input/small_8.csv,3.1,1.12654,2.75179
input/small_8.csv,1,1.44841,0.690414
input/small_8.csv,7.7,0.80467,9.56914
input/small_8.csv,2.1,1.02998,2.03888
input/small_8.csv,4.2,6.59829,0.636528
input/small_8.csv,1.7,2.63932,0.644106
input/small_7.csv,1,2.57494,0.388358
input/small_7.csv,2.4,2.09214,1.14715
input/small_7.csv,7.5,4.66709,1.607
input/small_7.csv,10.3,2.88072,3.5755
input/small_7.csv,0.9,1.89902,0.473928
input/small_7.csv,2.1,4.36131,0.481507
input/small_7.csv,4.4,4.4,1
input/small_7.csv,8,7.3064,1.09493
input/small_7.csv,5.8,2.41401,2.40264
input/small_7.csv,4.5,7.53171,0.597474
input/small_6.csv,1.9,16.8981,0.112439
input/small_6.csv,1.2,1.49669,0.801771
input/small_6.csv,0.9,4.92458,0.182757
input/small_6.csv,11,2.54276,4.32601
input/small_6.csv,1.3,5.79362,0.224385
input/small_6.csv,5.8,0.80467,7.20792
input/small_6.csv,3,0.820763,3.65513
input/small_6.csv,12,2.28526,5.25104
input/small_6.csv,0.3,2.51057,0.119495
input/small_6.csv,3.6,2.31745,1.55343
input/small_5.csv,3.9,2.81635,1.38477
input/small_5.csv,3.9,3.31524,1.17639
input/small_5.csv,1.4,2.04386,0.684978
input/small_5.csv,3.3,3.86242,0.854388
input/small_5.csv,1.2,2.57494,0.46603
input/small_5.csv,5.6,1.11044,5.04303
input/small_5.csv,13.1,8.40075,1.55938
input/small_5.csv,6.5,1.51278,4.29673
input/small_5.csv,2.8,1.12654,2.48549
input/small_5.csv,12.7,3.84632,3.30186
input/small_4.csv,6.4,0.836857,7.64766
input/small_4.csv,1.4,4.34522,0.322193
input/small_4.csv,2.4,4.97286,0.48262
input/small_4.csv,1.2,1.93121,0.621373
input/small_4.csv,3.3,1.60934,2.05053
input/small_4.csv,6,4.98895,1.20266
input/small_4.csv,3.9,2.41401,1.61557
input/small_4.csv,3.5,14.0013,0.249978
input/small_4.csv,2.1,3.57273,0.587785
