archivo,d_ij,d_t,ratio
input/small_0.csv,3.2,3.37961,0.946854
input/small_0.csv,1.2,1.06216,1.12977
input/small_0.csv,2.3,1.28747,1.78645
input/small_0.csv,2.2,1.93121,1.13918
input/small_0.csv,0.3,1.12654,0.266303
input/small_0.csv,9.8,4.11991,2.37869
input/small_0.csv,2.7,3.29915,0.818393
input/small_0.csv,1.2,3.78195,0.317297
input/small_0.csv,1.3,1.41622,0.917937
input/small_0.csv,5.8,3.86242,1.50165
input/small_9.csv,0.9,0.80467,1.11847
input/small_9.csv,1.8,2.09214,0.860362
input/small_9.csv,2.6,0.643736,4.03892
input/small_9.csv,5.9,1.97949,2.98057
input/small_9.csv,5.7,2.71978,2.09575
input/small_9.csv,8.9,2.89681,3.07234
input/small_9.csv,18,3.10603,5.79519
input/small_9.csv,2.3,2.57494,0.893223
input/small_9.csv,2.8,1.88293,1.48705
input/small_9.csv,1.6,2.59104,0.617513
input/small_8.csv,0.6,1.02998,0.582537
input/small_8.csv,3.7,1.44841,2.55453
input/small_8.csv,2.6,1.12654,2.30796
input/small_8.csv,5.5,2.57494,2.13597
input/small_8.csv,3.8,3.21868,1.18061
input/small_8.csv,0.6,0.80467,0.745647
input/small_8.csv,9.9,4.10382,2.41239
input/small_8.csv,5.1,3.00947,1.69465
input/small_8.csv,4.2,6.59829,0.636528
input/small_8.csv,1.7,2.63932,0.644106
input/small_7.csv,1,2.57494,0.388358
input/small_7.csv,2.4,2.09214,1.14715
input/small_7.csv,5.2,7.3064,0.711704
input/small_7.csv,17.8,17.8,1
input/small_7.csv,0.9,1.89902,0.473928
input/small_7.csv,2.6,2.41401,1.07705
input/small_7.csv,8.3,4.66709,1.77841
input/small_7.csv,8.7,7.53171,1.15512
input/small_7.csv,7,4.36131,1.60502
input/small_7.csv,2.6,2.88072,0.902553
input/small_6.csv,2.4,0.80467,2.98259
input/small_6.csv,1.2,1.49669,0.801771
input/small_6.csv,1.2,0.820763,1.46205
input/small_6.csv,16.3,16.8981,0.964607
input/small_6.csv,0.8,2.31745,0.345207
input/small_6.csv,2.7,2.54276,1.06184
input/small_6.csv,3,4.92458,0.609189
input/small_6.csv,9.1,5.79362,1.57069
input/small_6.csv,1.9,2.28526,0.831414
input/small_6.csv,5.6,2.51057,2.23057
input/small_5.csv,2.2,2.57494,0.854388
input/small_5.csv,3.9,3.31524,1.17639
input/small_5.csv,0.8,1.11044,0.720432
input/small_5.csv,3.5,2.04386,1.71244
input/small_5.csv,3.1,1.51278,2.04921
input/small_5.csv,6.3,3.84632,1.63793
input/small_5.csv,13.1,8.40075,1.55938
input/small_5.csv,6.6,2.81635,2.34346
input/small_5.csv,2.8,1.12654,2.48549
